time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
2500,62,21.288349610939196,0.00010085105895996094,1.1682510375976562e-05,0.0035431385040283203,0.04376387596130371,0.0001,0.0,0.6941853774785995,0.0,2.4557113647460938e-05,10.595100164413452,132.78105653936606,250.0,0.76,4.64,250.0,123.019362764964,142.54275031376812,24.933008909628207,1327.8105653936611,1.0,62.59420051251861,2500
5000,125,21.424804371847127,0.07401514053344727,1.1682510375976562e-05,0.003832578659057617,0.041730403900146484,0.0001,0.0,0.6451254349946975,0.0,1.5735626220703125e-05,9.881556987762451,102.81253084807082,250.0,0.56,5.16,250.0,101.51063698910087,104.11442470704084,32.28058212928759,1028.1253084807086,1.0,63.27249685726016,5000
7500,187,21.632717298073246,7.772445678710938e-05,1.1682510375976562e-05,0.0032265186309814453,0.04198431968688965,0.0001,0.0,0.6206307853460312,0.0,1.7404556274414062e-05,9.78215765953064,108.10689029853465,250.0,0.52,4.2,250.0,101.1304886435233,115.08329195354598,30.296169150309797,1081.0689029853463,1.0,72.12556460833207,7500
10000,250,21.550656392403727,0.07583284378051758,1.1682510375976562e-05,0.003798246383666992,0.04184365272521973,0.0001,0.0,0.6088086064457894,0.0,1.71661376953125e-05,9.928422212600708,132.71233579745743,250.0,0.68,4.2,250.0,122.19615503445193,143.22851656046296,24.51161083560639,1327.1233579745742,1.0,68.00914099533384,10000
12500,312,21.614063751775326,7.343292236328125e-05,1.1682510375976562e-05,0.0031783580780029297,0.04199981689453125,0.0001,0.0,0.6014051921367646,0.0,1.4781951904296875e-05,9.553529977798462,123.7176936443694,250.0,0.6,6.12,250.0,120.83782574739844,126.59756154134045,28.10383839891042,1237.1769364436946,1.0,68.29943856945242,12500
15000,375,21.610037838834643,0.07278752326965332,1.1682510375976562e-05,0.004504203796386719,0.041722774505615234,0.0001,0.0,0.5951183486580849,0.0,1.2874603271484375e-05,9.70291543006897,116.39536497874803,250.0,0.64,5.4,250.0,106.5788572980911,126.211872659405,26.727567349078754,1163.9536497874806,1.0,60.43563448620245,15000
17500,437,21.657303943703354,0.00011348724365234375,1.1682510375976562e-05,0.0036497116088867188,0.04213309288024902,0.0001,0.0,0.5946819046735764,0.0,1.5735626220703125e-05,9.65406847000122,134.39458864483348,250.0,0.72,5.32,250.0,121.81568318764408,146.97349410202287,23.26194870400725,1343.9458864483347,1.0,64.6288156852512,17500
20000,500,21.600715357247825,0.08265280723571777,1.1682510375976562e-05,0.0038220882415771484,0.04271101951599121,0.0001,0.0,0.5858434998989105,0.0,2.2649765014648438e-05,9.63380742073059,120.16758763706534,250.0,0.68,5.44,250.0,104.90400350107943,135.4311717730513,25.801029954479823,1201.6758763706537,1.0,71.41822609033755,20000
22500,562,21.582241981720806,0.00017905235290527344,1.1682510375976562e-05,0.0036547183990478516,0.041932106018066406,0.0001,0.0,0.5848403568863869,0.0,1.5735626220703125e-05,9.647774696350098,121.13309457555377,250.0,0.64,3.56,250.0,109.2417347008492,133.02445445025833,26.277461685354833,1211.3309457555376,1.0,66.84802210971003,22500
25000,625,21.569351681127337,0.07488346099853516,1.1682510375976562e-05,0.0038979053497314453,0.04216885566711426,0.0001,0.0,0.5829495994448661,0.0,1.430511474609375e-05,9.71836519241333,101.5157755990554,250.0,0.44,5.92,250.0,97.12836804101089,105.90318315709996,31.93217742905077,1015.1577559905543,1.0,68.61878459071002,25000
27500,687,21.265654841659675,0.00013327598571777344,1.1682510375976562e-05,0.003692626953125,0.04395627975463867,0.0001,0.0,0.5784194839596748,0.0,1.5020370483398438e-05,10.152529001235962,115.46975339324017,250.0,0.52,4.92,250.0,113.68617687473221,117.25332991174821,29.492621258775465,1154.697533932402,1.0,70.32159659613075,27500
30000,750,21.014457790881217,0.07564592361450195,1.1682510375976562e-05,0.00424504280090332,0.04516291618347168,0.0001,0.0,0.5784642713665962,0.0,1.3828277587890625e-05,10.354241847991943,115.16366748259173,250.0,0.56,5.64,250.0,110.81454980085104,119.5127851643324,28.967589854700087,1151.6366748259172,1.0,63.16678506885135,30000
32500,812,21.049023134652483,0.00013375282287597656,1.1682510375976562e-05,0.003748178482055664,0.042159318923950195,0.0001,0.0,0.5746256626844406,0.0,1.7881393432617188e-05,10.620389699935913,121.5697606769208,250.0,0.72,5.12,250.0,109.81484519826361,133.324676155578,26.31694110796744,1215.6976067692078,1.0,66.17671575280836,32500
35000,875,21.089359750114127,0.07297539710998535,1.1682510375976562e-05,0.0038690567016601562,0.04214835166931152,0.0001,0.0,0.574621333539486,0.0,1.7642974853515625e-05,9.922808408737183,96.41156231812921,250.0,0.44,3.6,250.0,93.79847088006271,99.02465375619572,33.20125704941035,964.1156231812922,1.0,64.75376354330025,35000
37500,937,21.251426792570303,7.867813110351562e-05,1.1682510375976562e-05,0.003143787384033203,0.04194521903991699,0.0001,0.0,0.5735144570469857,0.0,1.4066696166992188e-05,10.287153005599976,104.3009837668286,250.0,0.52,4.84,250.0,94.5005716542822,114.10139587937503,30.59845472076326,1043.0098376682859,1.0,74.17166060766895,37500
40000,1000,20.689555700465124,0.08530616760253906,1.1682510375976562e-05,0.004514217376708984,0.0827333927154541,2e-08,0.0012182648181915284,0.5731945385336876,0.0014880952835083009,1.3828277587890625e-05,9.739647388458252,115.84270426763395,250.0,0.48,4.04,250.0,115.2193981257817,116.4660104094862,29.528113933831733,1158.4270426763396,1.0,64.564972802394,40000
42500,1062,21.459939642282492,7.462501525878906e-05,1.1682510375976562e-05,0.003463268280029297,0.04235982894897461,2.5019999999999998e-05,0.42830347657203677,0.6414209896326065,0.7956339282989502,1.3589859008789062e-05,9.790270328521729,150.62244344264053,250.0,0.88,7.44,250.0,136.95249005756375,164.2923968277174,19.875734904644215,1506.2244344264057,1.0,53.15118301339155,42500
45000,1125,21.035740854684903,0.0822761058807373,1.1682510375976562e-05,0.004210233688354492,0.0431973934173584,5.002e-05,0.39392287319898606,0.6524363160729408,0.8183928577899933,1.71661376953125e-05,10.47559142112732,124.4665341467169,250.0,0.72,4.36,250.0,114.14930917384781,134.783759119586,25.870699736382292,1244.6653414671691,1.0,63.36727018642713,45000
47500,1187,21.13227959052903,7.176399230957031e-05,1.1682510375976562e-05,0.003571033477783203,0.04304099082946777,7.502e-05,0.38007153722643855,0.6612028802633285,0.8267252004146576,1.5020370483398438e-05,10.444032430648804,135.03659114758327,250.0,0.72,6.4,250.0,127.78312182343014,142.29006047173633,24.64454827787547,1350.3659114758325,1.0,63.77019094218597,47500
50000,1250,21.442015060609997,0.07478475570678711,1.1682510375976562e-05,0.004228830337524414,0.041748046875,0.0001,0.3705558332055807,0.6637537644505501,0.832524800658226,1.4066696166992188e-05,9.751199007034302,160.29731040750968,250.0,0.96,6.6,250.0,142.76693864041982,177.82768217459954,17.05909768978835,1602.9731040750967,1.0,42.572834826037365,50000
52500,1312,21.015987728434595,0.0001628398895263672,1.1682510375976562e-05,0.003407001495361328,0.042235612869262695,0.0001,0.36544818711280824,0.6656796057224273,0.8351607147455216,1.6689300537109375e-05,9.647150039672852,127.68725313238099,250.0,0.64,4.08,250.0,124.03136065368508,131.34314561107686,26.73298326580706,1276.8725313238097,1.0,62.375551154761055,52500
55000,1375,20.604761630454025,0.07598733901977539,1.1682510375976562e-05,0.004023551940917969,0.044122934341430664,0.0001,0.35991308999061583,0.6634199264645576,0.8401964278817177,1.4781951904296875e-05,10.347170352935791,138.3441753435022,250.0,0.8,8.56,250.0,126.91342204432742,149.774928642677,22.749631802448338,1383.441753435022,1.0,59.77490248513367,55000
57500,1437,21.165157272414877,0.00012564659118652344,1.1682510375976562e-05,0.003565073013305664,0.04194831848144531,0.0001,0.3548982214331627,0.6673772639036178,0.8421676588058472,1.5020370483398438e-05,9.837875127792358,143.7646083250741,250.0,0.84,5.04,250.0,124.65180700824943,162.87740964189877,19.79069114400251,1437.646083250741,1.0,58.30949609894717,57500
60000,1500,20.781336687913424,0.08434152603149414,1.1682510375976562e-05,0.004601716995239258,0.041727542877197266,0.0001,0.35399545410275457,0.6681121779680252,0.8441418640613556,1.5735626220703125e-05,10.317247867584229,146.19672826833724,250.0,0.84,6.24,250.0,134.57774661818453,157.81570991848992,21.379768157660486,1461.9672826833723,1.0,56.76589505555081,60000
