time/step,time/epoch,time/steps_per_second,time/dataset,time/env_step,time/processor,time/train_step,lr/actor,train/cpl_loss,train/bc_loss,train/accuracy,time/validation,time/eval,eval/reward,eval/length,eval/success,eval/near_object,eval/grasp_success,eval/grasp_reward,eval/in_place_reward,eval/obj_to_target,eval/unscaled_reward,eval/discount,eval/reward_std,step
0,0,4605.896086040776,0.002418994903564453,2.1457672119140625e-06,0.00046253204345703125,0.10564804077148438,0.0001,0.0,1.6593483686447144,0.0,5.7220458984375e-06,2.820211172103882,34.33202868317575,250.0,0.0,0.0,250.0,35.38118797821156,33.28286938813994,47.52925448453677,343.3202868317574,1.0,21.594000945693832,0
5000,185,386.6132022618459,0.0004100799560546875,2.1457672119140625e-06,0.0002582073211669922,0.0016388893127441406,0.0001,0.0,0.667606268286705,0.0,5.7220458984375e-06,2.785221815109253,108.42188016199088,250.0,0.64,5.2,250.0,98.97899510772324,117.86476521625855,28.909810656285273,1084.2188016199088,1.0,61.69638120938196,5000
10000,370,360.80053030565006,0.0006401538848876953,2.1457672119140625e-06,0.00033402442932128906,0.0020492076873779297,0.0001,0.0,0.6114010818004608,0.0,6.67572021484375e-06,2.827850103378296,141.0929281547037,250.0,0.68,7.2,250.0,130.3760497578129,151.80980655159453,22.94908102640181,1410.929281547037,1.0,71.7062392951329,10000
15000,555,366.3413155713471,0.00040459632873535156,2.1457672119140625e-06,0.00026035308837890625,0.001636505126953125,0.0001,0.0,0.5926546874642372,0.0,6.67572021484375e-06,2.8243489265441895,134.8712826112983,250.0,0.68,7.28,250.0,125.00201815885747,144.74054706373926,24.221152237353127,1348.7128261129835,1.0,68.11818104825427,15000
20000,740,363.6980397801668,0.0003752708435058594,2.1457672119140625e-06,0.00024437904357910156,0.0012607574462890625,0.0001,0.0,0.5848328779935836,0.0,5.0067901611328125e-06,2.9322266578674316,140.6544296703655,250.0,0.72,7.2,250.0,127.67121516626254,153.63764417446836,22.30734353628813,1406.5442967036545,1.0,67.10063199531906,20000
25000,925,367.4658103715972,0.00061798095703125,2.1457672119140625e-06,0.00033020973205566406,0.002184152603149414,0.0001,0.0,0.5782536261081695,0.0,5.0067901611328125e-06,2.9333019256591797,134.52454962779504,250.0,0.68,6.12,250.0,127.44786908828615,141.60123016730398,24.764276176081626,1345.2454962779502,1.0,64.04570189719247,25000
30000,1111,363.4752719540831,0.0006372928619384766,2.1457672119140625e-06,0.0003323554992675781,0.0020165443420410156,0.0001,0.0,0.5767382780313491,0.0,6.4373016357421875e-06,2.8661999702453613,137.9706298878009,250.0,0.72,6.64,250.0,133.15088480677116,142.79037496883066,24.249290469015886,1379.7062988780092,1.0,59.21592844379932,30000
35000,1296,365.97997604636595,0.0006060600280761719,2.1457672119140625e-06,0.0003306865692138672,0.0020079612731933594,0.0001,0.0,0.5735317420363426,0.0,1.0013580322265625e-05,2.8784637451171875,135.4059135072515,250.0,0.6,7.28,250.0,132.36790462178715,138.44392239271588,25.75221171451902,1354.0591350725151,1.0,69.00890119908702,35000
40000,1481,366.6046496504747,0.0006122589111328125,2.1457672119140625e-06,0.0003407001495361328,0.00196075439453125,0.0001,0.0,0.5719087656736374,0.0,5.4836273193359375e-06,2.911409854888916,126.51288083904318,250.0,0.6,5.28,250.0,123.68203083521593,129.34373084287043,27.12247028966159,1265.128808390432,1.0,66.64466299465285,40000
45000,1666,367.1516732464395,0.0006196498870849609,2.1457672119140625e-06,0.00032973289489746094,0.001972198486328125,0.0001,0.0,0.5699981208443642,0.0,5.7220458984375e-06,2.9148597717285156,120.70257959430313,250.0,0.6,5.72,250.0,109.39381419837349,132.01134499023274,26.78003698794937,1207.025795943031,1.0,73.73247331689443,45000
50000,1851,366.4948384245394,0.0006349086761474609,2.1457672119140625e-06,0.0003428459167480469,0.0019936561584472656,0.0001,0.0,0.5678492756485939,0.0,5.245208740234375e-06,2.845632314682007,124.88751356170823,250.0,0.64,5.08,250.0,114.03683131448126,135.73819580893525,25.782079926578408,1248.8751356170824,1.0,71.65775661976532,50000
